food_id,medical_tag_id
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,4
24,5
25,4
26,4
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,4
48,5
49,4
50,4
51,1
52,1
53,1
54,5
55,4
56,5
57,5
58,5
59,1
60,5
61,4
62,4
63,4
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,4
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,4
93,4
94,1
95,1
96,5
97,5
98,5
99,4
100,4
101,1
102,1
103,1
104,1
105,5
106,4
107,4
108,4
109,4
110,4
111,4
112,5
113,5
114,5
115,4
116,5
117,5
118,5
119,1
120,1
121,5
122,5
123,5
124,1
125,1
126,5
127,4
128,5
129,4
130,5
131,1
132,1
133,4
134,1
135,4
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,1
144,1
145,4
146,5
147,4
148,4
149,4
150,4
151,4
152,4
153,5
154,3
155,4
156,5
157,5
158,3
159,4
160,5
161,5
162,5
163,5
164,3
165,3
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,4
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,4
200,5
201,4
202,5
203,5
204,3
205,3
206,4
207,5
208,5
209,5
210,5
211,5
212,3
213,3
214,3
215,3
216,5
217,5
218,3
219,3
220,3
220,4
221,4
222,5
223,5
224,5
225,5
226,5
227,3
228,3
229,5
230,5
231,5
232,5
233,3
234,3
235,3
236,5
237,5
238,3
239,5
240,5
241,5
242,5
243,5
244,5
245,5
246,5
247,3
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,5
262,5
263,5
264,5
265,5
266,3
267,3
268,3
269,3
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,3
286,3
287,3
288,5
289,5
290,5
291,5
292,5
293,5
294,5
295,3
296,3
297,5
298,3
299,3
300,3
